Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-1|1|164|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L   Ret.B-lymphatic Leukemia,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-2|1|330|Neoplasia unclassified|Other local manifestations and miscellaneus,MA: 0000003 - organ system|a  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-3|1|391|n/a|n/a|n/a|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-4|1|400|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L  ,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-5|1|407|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L   Ret.B-Ret.A,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-6|1|471|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L   Ret.B-lymphatic Leukemia,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-7|1|472|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L  ,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-8|1|497|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L   Ret.B-lymphatic Leukemia,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-9|1|526|n/a|n/a|n/a|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-10|1|534|n/a|n/a|n/a|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-11|1|535|Neoplasia unclassified|Lower respiratory system,MA: 0000415 - lung|M  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-12|1|545|Neoplasia unclassified|Other local manifestations and miscellaneus,MA: 0000003 - organ system|a  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-13|1|552|Neoplasia unclassified|Lower respiratory system,MA: 0000415 - lung|M  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-14|1|556|Neoplasia unclassified|Other local manifestations and miscellaneus,MA: 0000003 - organ system|a  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-15|1|562|Neoplasia unclassified|Other local manifestations and miscellaneus,MA: 0000003 - organ system|a  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-16|1|563|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L  ,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-17|1|569|Neoplasia malignant|Bone among musculo-skeletal system diseases|M|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-18|1|587|Neoplasia unclassified|Other local manifestations and miscellaneus,MA: 0000003 - organ system|a  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-19|1|605|Neoplasia unclassified|Other local manifestations and miscellaneus,MA: 0000003 - organ system|a  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-20|1|605|Neoplasia unclassified|Other local manifestations and miscellaneus,MA: 0000003 - organ system|a  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-21|1|615|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L  ,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-22|1|631|Neoplasia unclassified|Lower respiratory system,MA: 0000415 - lung|M  ,MPATH: 218 - neoplasm|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-23|1|642|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L  ,MPATH: 513 - Lymphoid neoplasms|
5-4-1|n/a,FK KO 7/82|1|n/a|none (controls)||unit code not relevant|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Unknown|full pathology|5-4-1-24|1|645|Neoplasia systemic|Haematolymphatic system,MA: 0002434 - hematopoietic system|L  ,MPATH: 513 - Lymphoid neoplasms|
