Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
18-1-1|n/a,n/a|1|n/a|X-rays local|13.3|grays|External exposure|4x4 cm skin fields at the left flank 8 fields per flank, 1.88 Gy/min|10 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-2|n/a,n/a|1|n/a|X-rays local|15.8|grays|External exposure|4x4 cm skin fields at the left flank 8 fields per flank, 1.88 Gy/min|10 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-3|n/a,n/a|1|n/a|X-rays local|18.8|grays|External exposure|4x4 cm skin fields at the left flank 8 fields per flank, 1.88 Gy/min|10 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-4|n/a,n/a|1|n/a|X-rays local|20.6|grays|External exposure|4x4 cm skin fields at the left flank 8 fields per flank, 1.88 Gy/min|10 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-5|n/a,n/a|1|n/a|X-rays local|24.3|grays|External exposure|4x4 cm skin fields at the left flank 8 fields per flank, 1.88 Gy/min|10 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-6|n/a,n/a|1|n/a|X-rays local|31.5|grays|External exposure|4x4 cm skin fields at the left flank 8 fields per flank, 1.88 Gy/min|10 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-7|n/a,n/a|1|n/a|X-rays local|35.2|grays|External exposure|4x4 cm skin fields at the left flank 8 fields per flank, 1.88 Gy/min|6 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-8|n/a,n/a|1|n/a|gamma-rays local|15|grays|External exposure|3 pigs brachytherapy of 3x3 cm skin fields at both flanks, 0.7 -1.7 Gy/min|10 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-9|n/a,n/a|1|n/a|gamma-rays local|17|grays|External exposure|4 pigs brachytherapy of 3x3 cm skin fields at both flanks, 0.7 -1.7 Gy/min|12 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-10|n/a,n/a|1|n/a|gamma-rays local|19|grays|External exposure|4 pigs brachytherapy of 3x3 cm skin fields at both flanks, 0.7 -1.7 Gy/min|12 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-11|n/a,n/a|1|n/a|gamma-rays local|20|grays|External exposure|2 pigs brachytherapy of 3x3 cm skin fields at both flanks, 0.7 -1.7 Gy/min|6 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-12|n/a,n/a|1|n/a|gamma-rays local|21|grays|External exposure|4 pigs brachytherapy of 3x3 cm skin fields at both flanks, 0.7 -1.7 Gy/min|12 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
18-1-13|n/a,n/a|1|n/a|gamma-rays local|23|grays|External exposure|4 pigs brachytherapy of 3x3 cm skin fields at both flanks, 0.7 -1.7 Gy/min|12 (0 in ERA)|Livestock|Pig, Hampshire/Yorkshire|Both|Unknown|Incidence and latent period fora) 	acute reactions of erythema  (moderate/severe) and moist desquamation,
