Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1005-32-1|n/a,n/a|1|84|shamexposed|0|n/a|n/a|n/a|160 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-2|n/a,n/a|1|84|shamexposed|0|n/a|n/a|n/a|160 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Female|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-3|n/a,n/a|1|84|Pu-239 dioxide|56|becquerels initial or established lung burden|Inhalation|Initial lung burden|191 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-4|n/a,n/a|1|84|Pu-239 dioxide|56|becquerels initial or established lung burden|Inhalation|Initial lung burden|192 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Female|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-5|n/a,n/a|1|84|Pu-239 dioxide|170|becquerels initial or established lung burden|Inhalation|Initial lung burden|182 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-6|n/a,n/a|1|84|Pu-239 dioxide|170|becquerels initial or established lung burden|Inhalation|Initial lung burden|182 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Female|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-7|n/a,n/a|1|114|X-rays whole body|3.84|grays|External exposure|split dose 114 and 154 d (30 and 60 d after inhalation)|156 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-8|n/a,n/a|1|114|X-rays whole body|3.84|grays|External exposure|split dose 114 and 154 d (30 and 60 d after inhalation)|158 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Female|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-9|n/a,n/a|1|84|Pu-239 dioxide|56|becquerels initial or established lung burden|Inhalation|Initial lung burden|192 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
1005-32-9|n/a,n/a|2|114|X-rays whole body|3.84|grays|External exposure|split dose 114 and 154 d (30 and 60 d after inhalation)|192 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Young Adult|Lifespan histopathology, lung burden and retention determined by serial sacrifice and tissue/whole body counting|No information on individuals available for this study
