Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
2013-1-1|n/a,n/a|1|70|H-3 O2|3.7|gigabecquerels per l drinking water|not applicable or not supplied|dose rate 96 mGy/d accumulated dose not determ.|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-2|n/a,n/a|1|70|H-3 O2|9.25|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 240 mGy/d accumulated dose not determ.|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-3|n/a,n/a|1|70|H-3 O2|12|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 300 mGy/d accumulated organdose 20.0 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-4|n/a,n/a|1|70|H-3 O2|18.5|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 480 mGy/d accumulated organdose 18.5 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-5|n/a,n/a|1|70|H-3 O2|37|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 960 mGy/d accumulated organdose 15.3 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-6|n/a,n/a|1|70|H-3 O2|74|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 1920 mGy/d accumulated organdose 12 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-7|n/a,n/a|1|70|H-3 O2|148|gigabecquerels per l drinking water|Ingestion in food or water|dose rate not determ. accumulated organdose 11.1 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-8|n/a,n/a|1|70|H-3 O2|296|gigabecquerels per l drinking water|Ingestion in food or water|dose rate not determ. accumulated organdose 13.1 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-9|n/a,n/a|1|70|H-3 O2|592|gigabecquerels per l drinking water|Ingestion in food or water|dose rate not determ. mGy/d accumulated organdose 23.7 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-10|n/a,n/a|1|70|none (controls)|0|gigabecquerels per l drinking water|Ingestion in food or water|n/a|69 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-11|n/a,n/a|1|70|H-3 O2|0.37|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 10 mGy/d accumulated organdose 5.9±1.1 Gy|53 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-12|n/a,n/a|1|70|H-3 O2|0.93|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 24 mGy/d accumulated organdose 11.5±2.7 Gy|60 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-13|n/a,n/a|1|70|H-3 O2|1.85|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 48 mGy/d accumulated organdose 19.7±3.1 Gy|60 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-14|n/a,n/a|1|70|H-3 O2|3.7|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 96 mGy/d accumulated organdose 24.6±4.9Gy|38 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-15|n/a,n/a|1|70|H-3 O2|9.25|gigabecquerels per l drinking water|Ingestion in food or water|dose rate 240 mGy/d accumulated organdose 38.8±8.5 Gy|45 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-16|n/a,n/a|1|70|none (controls)|0|megabecquerels per l drinking water|Ingestion in food or water|n/a|51 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-17|n/a,n/a|1|70|H-3 O2|8.69|megabecquerels per l drinking water|Ingestion in food or water|dose rate 0.2 mGy/d accumulated organdose 0.17±0.03 Gy|55 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-18|n/a,n/a|1|70|H-3 O2|34.8|megabecquerels per l drinking water|Ingestion in food or water|dose rate 0.9 mGy/d accumulated organdose 0.71±0.13 Gy|58 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-19|n/a,n/a|1|70|H-3 O2|139|megabecquerels per l drinking water|Ingestion in food or water|dose rate 3.6 mGy/d accumulated organdose 2.62±0.41Gy|56 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
