Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1005-33-1|n/a,n/a|1|84|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|208 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|n/a|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-2|n/a,n/a|1|84|Pu-239 dioxide|60|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-3|n/a,n/a|1|84|Pu-239 dioxide|170|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-4|n/a,n/a|1|84|beryllium|50|micrograms|Inhalation|n/a|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-5|n/a,n/a|1|84|Pu-239 dioxide|60|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-5|n/a,n/a|2|84|beryllium|50|micrograms|Inhalation|immediately after Pu exposure|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-6|n/a,n/a|1|84|Pu-239 dioxide|60|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-6|n/a,n/a|2|84|beryllium|170|micrograms|Inhalation|immediately after Pu exposure|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-7|n/a,n/a|1|84|beryllium|150|micrograms|Inhalation|n/a|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-8|n/a,n/a|1|84|Pu-239 dioxide|60|becquerels initial or established lung burden|Inhalation|initial lung burden|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
1005-33-8|n/a,n/a|2|84|beryllium|150|micrograms|Inhalation|immediately after Pu exposure|240 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Both|Young Adult|Lifespan lung histopathology lung clearance and dosimetry of Pu and Be|No information on individuals available for this study
