Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
19-7-1|n/a,n/a|1|n/a|hexachlorobutadiene|1200|milligrams per animal|Gavage|50-2300 mg/kg|140 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-2|n/a,n/a|1|n/a|hexachlorobutadiene|1150|milligrams per animal|Injection, intraperitoneal|20-2000 mg/kg|160 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-3|n/a,n/a|1|n/a|hexachlorobutadiene|210|milligrams per animal|Injection, intratracheal|20-400 mg/kg|100 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-4|n/a,n/a|1|n/a|hexachlorobutadiene|12.3|milligrams per animal|Inhalation|during 2-6 h|80 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-5|n/a,n/a|1|n/a|hexachlorobutadiene|12300|milligram per cubic m|Inhalation|n/a|14 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-5|n/a,n/a|2|n/a|Heat exposure|25|degree Celsius|External exposure|for 4 hours|14 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-6|n/a,n/a|1|n/a|hexachlorobutadiene|12300|milligram per cubic m|Inhalation|n/a|15 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-6|n/a,n/a|2|n/a|Heat exposure|40|degree Celsius|External exposure|for 4 hours|15 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-7|n/a,n/a|1|n/a|Heat exposure|25|degree Celsius|External exposure|for 4 hours|15 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-8|n/a,n/a|1|n/a|Heat exposure|40|degree Celsius|External exposure|for 4 hours|10 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-9|n/a,n/a|1|n/a|hexachlorobutadiene|100|milligrams per animal|Injection, intraperitoneal|43.75,87.5,175 and 700 mg/kg  43.75,87.5,175 and 700 mg/kg|4 (0 in ERA)|Dog|Dog, breed unspecified|n/a|Unknown|LD50/30 HCBD for rats ie the death of 50% rats within 30 days (calculation with probit analysis and least-square method). Acute toxic dose of HCBD for the death of dogs within 7 days. Effect of high air temperature on rat mortality from HCBD.|No information on individuals available for this study
19-7-10|n/a,n/a|1|n/a|hexachlorobutadiene|8|milligrams per animal|Injection, intravenous|single expsoure|21 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|HCBD content in organs and excreta by gas chromatography in kidneys, lung, brain, spleen, brain, skeleton, blood, muscular and fatty tissue, large and small intestine, urine, feces|No information on individuals available for this study
19-7-11|n/a,n/a|1|n/a|hexachlorobutadiene|8|milligrams per animal|Injection, intramuscular|single expsoure|24 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|HCBD content in organs and excreta by gas chromatography in kidneys, lung, brain, spleen, brain, skeleton, blood, muscular and fatty tissue, large and small intestine, urine, feces|No information on individuals available for this study
19-7-12|n/a,n/a|1|n/a|hexachlorobutadiene|8|milligrams per animal|Injection, subcutaneously|single expsoure|27 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|HCBD content in organs and excreta by gas chromatography in kidneys, lung, brain, spleen, brain, skeleton, blood, muscular and fatty tissue, large and small intestine, urine, feces|No information on individuals available for this study
19-7-13|n/a,n/a|1|n/a|hexachlorobutadiene|1.28|milligrams per animal|Gavage|during 2 h|21 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|HCBD content in organs and excreta by gas chromatography in kidneys, lung, brain, spleen, brain, skeleton, blood, muscular and fatty tissue, large and small intestine, urine, feces|No information on individuals available for this study
19-7-14|n/a,n/a|1|n/a|hexachlorobutadiene|12300|milligram per cubic m|Inhalation|n/a|21 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|HCBD content in organs and excreta by gas chromatography in kidneys, lung, brain, spleen, brain, skeleton, blood, muscular and fatty tissue, large and small intestine, urine, feces|No information on individuals available for this study
19-7-15|n/a,n/a|1|n/a|hexachlorobutadiene|0.125|fraction of LD50|Gavage|1/8 LD50 single gavage|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|1,4,8 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-16|n/a,n/a|1|n/a|hexachlorobutadiene|0.0625|fraction of LD50|Gavage|1/16 LD50 single gavage|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|1,4,8 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-17|n/a,n/a|1|n/a|hexachlorobutadiene|0.0312|fraction of LD50|Gavage|1/32 LD50 single gavage|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|1,4,8 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-18|n/a,n/a|1|n/a|hexachlorobutadiene|0.0156|fraction of LD50|Gavage|1/64 LD50 single gavage|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|1,4,8 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-19|n/a,n/a|1|n/a|hexachlorobutadiene|0.0078|fraction of LD50|Gavage|1/128 LD50 single gavage|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|1,4,8 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-20|n/a,n/a|1|n/a|hexachlorobutadiene|0.0312|fraction of LD50|Gavage|1/32 LD50 single gavage|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|7, 14, 30, 60, 90, 120, 180, 270, 360 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-21|n/a,n/a|1|n/a|hexachlorobutadiene|0.0156|fraction of LD50|Gavage|1/64 LD50 single gavage|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|7, 14, 30, 60, 90, 120, 180, 270, 360 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-22|n/a,n/a|1|n/a|hexachlorobutadiene|0.0078|fraction of LD50|Injection, intratracheal|1/128 LD50 single intratracheal|5 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|7, 14, 30, 60, 90, 120, 180, 270, 360 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-23|n/a,n/a|1|n/a|none (controls)|0|code was present in 2006 version of db, translation unknown|not applicable or not supplied|n/a|10 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|7, 14, 30, 60, 90, 120, 180, 270, 360 daysThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-24|n/a,n/a|1|n/a|hexachlorobutadiene|1|fraction of LD50|Gavage|1LD50-100/30 single gavage post mortem spring winter|20 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|Post mortem in spring and winterThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-25|n/a,n/a|1|n/a|hexachlorobutadiene|1|fraction of LD50|Gavage|1Ld50-100/30 single gavage post mortem spring winter|20 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|Post mortem in spring and winterThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-26|n/a,n/a|1|n/a|hexachlorobutadiene|0.25|fraction of LD50|Gavage|1/4 LD50 during 4 days gavage|10 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|Post mortem during injection period and during 30 days after injection terminationThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-27|n/a,n/a|1|n/a|hexachlorobutadiene|0.25|fraction of LD50|Gavage|1/4 LD50 during 8 days gavage|10 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|Post mortem during injection period and during 30 days after injection terminationThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-28|n/a,n/a|1|n/a|hexachlorobutadiene|0.125|fraction of LD50|Gavage|1/8 LD50 during 8 days gavage|10 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|Post mortem during injection period and during 30 days after injection terminationThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-29|n/a,n/a|1|n/a|hexachlorobutadiene|0.125|fraction of LD50|Gavage|1/8 LD50 during 16 days gavage|10 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|Post mortem during injection period and during 30 days after injection terminationThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
19-7-30|n/a,n/a|1|n/a|hexachlorobutadiene|0.03125|fraction of LD50|Gavage|1/32 LD50 during 86 days gavage|10 (0 in ERA)|Rat|Rat Wistar|n/a|Unknown|Post mortem during injection period and during 30 days after injection terminationThreshold of biological effects from HCBD on the basis of the duration of a chloral hydrate narcosis. Cells in peripheral blood in vivo. Seasonal influence on mortality from HCBD. .Coefficients of cumulative action on base of mortality from HCBD.|No information on individuals available for this study
