Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
2-21-1|n/a,n/a|1|125|gamma-rays local|120|grays|External exposure|Ir-192 collimated 2 cm thigh|15 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-2|n/a,n/a|1|125|gamma-rays local|160|grays|External exposure|Ir-192 collimated 2 cm thigh|26 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-3|n/a,n/a|1|125|gamma-rays local|250|grays|External exposure|Ir-192 collimated 2 cm thigh|36 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-4|n/a,n/a|1|125|gamma-rays local|340|grays|External exposure|Ir-192 collimated 2 cm thigh|24 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-5|n/a,n/a|1|125|gamma-rays local||grays|External exposure|16, 32, 48, 64, 80, 96 Gy Ir 192 collimated 2cm different back fields|8 (0 in ERA)|Livestock|Pig large white|Both|Unknown|5 doses to 5 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-6|n/a,n/a|1|n/a|gamma-rays local|40|grays|External exposure|Ir-192 collimated 2 cm back|8 (0 in ERA)|Rodent Other|Rabbit, New Zealand white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-7|n/a,n/a|1|n/a|gamma-rays local|80|grays|External exposure|Ir-192 collimated 2 cm back|8 (0 in ERA)|Rodent Other|Rabbit, New Zealand white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-8|n/a,n/a|1|500|gamma-rays local|120|grays|External exposure|Ir-192 collimated 2 cm back|8 (0 in ERA)|Rodent Other|Rabbit, New Zealand white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-9|n/a,n/a|1|n/a|gamma-rays local|160|grays|External exposure|Ir-192 collimated 2 cm back|8 (0 in ERA)|Rodent Other|Rabbit, New Zealand white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-10|n/a,n/a|1|125|ß-rays||grays|External exposure|4, 8, 16, 32, 64 Gy 4 cm Sr-90 source (1.7gBq)|6 (0 in ERA)|Livestock|Pig large white|Both|Unknown|3 doses to 3 fields per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-11|n/a,n/a|1|125|ß-rays||grays|External exposure|32, 64, 96 Gy 4 cm Sr-90 source (1.7gBq)|5 (0 in ERA)|Livestock|Pig large white|Both|Unknown|3 doses to 3 fields per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-12|n/a,n/a|1|125|ß-rays||grays|External exposure|32, 64 Gy 4 cm Sr-90 source (1.7gBq)|6 (0 in ERA)|Livestock|Pig large white|Both|Unknown|2 doses to 2 fields per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-13|n/a,n/a|1|125|ß-rays||grays|External exposure|48, 64, 80 Gy 4 cm Sr-90 source (1.7gBq)|6 (0 in ERA)|Livestock|Pig large white|Both|Unknown|3 doses to 3 fields per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-14|n/a,n/a|1|125|gamma-rays local|3.2|grays|External exposure|Mixed exposure 11% Ir-192 89% Sr  beta source|5 (0 in ERA)|Livestock|Pig large white|Both|Unknown|2 doses to 2 fields per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-14|n/a,n/a|2|125|ß-rays|32|grays|External exposure|Mixed exposure 11% Ir-192 89% Sr  beta source|5 (0 in ERA)|Livestock|Pig large white|Both|Unknown|2 doses to 2 fields per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-15|n/a,n/a|1|125|gamma-rays local|6.4|grays|External exposure|Mixed exposure 11% Ir-192 89% Sr  beta source|8 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-15|n/a,n/a|2|125|ß-rays|65|grays|External exposure|Mixed exposure 11% Ir-192 89% Sr  beta source|8 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-16|n/a,n/a|1|125|gamma-rays local|8|grays|External exposure|Mixed exposure 11% Ir-192 89% Sr  beta source|6 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
2-21-16|n/a,n/a|2|125|ß-rays|80|grays|External exposure|Mixed exposure 11% Ir-192 89% Sr  beta source|6 (0 in ERA)|Livestock|Pig large white|Both|Unknown|1 field per animal clinical, biochemical, biophysical evaluation|No information on individuals available for this study
