Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
9-12-1|n/a,n/a|1|-10|none (controls)|0|milli grays|External exposure|day 0-20 chronic sham exposure 36 mGy/h|6 (0 in ERA)|Rat|Rat Wistar|Female|Foetal|assayed at 20d|No information on individuals available for this study
9-12-2|n/a,n/a|1|-10|none (controls)|0|milli grays|External exposure|day 0-20 chronic sham exposure|6 (0 in ERA)|Rat|Rat Wistar|Female|Foetal|assayed at 3m|No information on individuals available for this study
9-12-3|n/a,n/a|1|-10|none (controls)|0|milli grays|External exposure|day 0-20 chronic sham exposure|6 (0 in ERA)|Rat|Rat Wistar|Female|Foetal|assayed at 15m|No information on individuals available for this study
9-12-4|n/a,n/a|1|-10|gamma-rays Co-60|170|milli grays|External exposure|day 0-20 chronic Co-60 gamma exposure 36 mGy/h|8 (0 in ERA)|Rat|Rat Wistar|Female|Foetal|assayed at 20d|No information on individuals available for this study
9-12-5|n/a,n/a|1|-10|gamma-rays Co-60|170|milli grays|External exposure|day 0-20 chronic Co-60 gamma exposure 36 mGy/h|20 (0 in ERA)|Rat|Rat Wistar|Female|Foetal|assayed at 3m|No information on individuals available for this study
9-12-6|n/a,n/a|1|-10|gamma-rays Co-60|356|milli grays|External exposure|day 0-20 chronic Co-60 gamma exposure 36 mGy/h|8 (0 in ERA)|Rat|Rat Wistar|Female|Organogenese|assayed at 20d|No information on individuals available for this study
9-12-7|n/a,n/a|1|-10|gamma-rays Co-60|356|milli grays|External exposure|day 0-20 chronic Co-60 gamma exposure 36 mGy/h|12 (0 in ERA)|Rat|Rat Wistar|Female|Organogenese|assayed at 3m|No information on individuals available for this study
9-12-8|n/a,n/a|1|-10|gamma-rays Co-60|356|milli grays|External exposure|day 0-20 chronic Co-60 gamma exposure 36 mGy/h|10 (0 in ERA)|Rat|Rat Wistar|Female|Organogenese|assayed at 15m|No information on individuals available for this study
9-12-9|n/a,n/a|1|-10|gamma-rays Co-60|850|milli grays|External exposure|day 0-20 chronic Co-60 gamma exposure 36 mGy/h|8 (0 in ERA)|Rat|Rat Wistar|Female|Organogenese|assayed at 20d|No information on individuals available for this study
9-12-10|n/a,n/a|1|-10|gamma-rays Co-60|850|milli grays|External exposure|day 0-20 chronic Co-60 gamma exposure 36 mGy/h|8 (0 in ERA)|Rat|Rat Wistar|Female|Organogenese|assayed at 3m|No information on individuals available for this study
