Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-1|1|434|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-2|1|435|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-3|1|488|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-4|1|491|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-5|1|522|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-6|1|530|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-7|1|541|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-8|1|542|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-9|1|549|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-10|1|550|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-11|1|604|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-12|1|611|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-13|1|612|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-14|1|616|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-15|1|630|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-16|1|630|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-17|1|649|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-18|1|656|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-19|1|658|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
5-2-1|n/a,RKL KO 5/76|1|28|none (controls)|0|becquerels per g animal|not applicable or not supplied|n/a|50 (50 in ERA)|Mouse|Mouse, NMRI|Female|Juvenile|Lifespan study with radiography and microsc./macroscop. pathology|5-2-1-20|1|660|Other deterministic changes|Bone among musculo-skeletal system diseases|n/a|
