Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
13-6-1|n/a,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-2|n/a,n/a|1|75|X-rays whole body|12|roentgens|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-3|n/a,n/a|1|75|X-rays whole body|25|roentgens|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-4|n/a,n/a|1|75|X-rays whole body|50|roentgens|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-5|n/a,n/a|1|75|X-rays whole body|100|roentgens|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-6|n/a,n/a|1|75|Sr-90 nitrate|3.7|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-7|n/a,n/a|1|75|Sr-90 nitrate|11.1|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-8|n/a,n/a|1|75|Sr-90 nitrate|18.5|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-9|n/a,n/a|1|75|Sr-90 nitrate|25.9|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-10|n/a,n/a|1|75|Sr-90 nitrate|51.8|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrificed 10 d after exposure|No information on individuals available for this study
13-6-11|n/a,n/a|1|75|Sr-90 nitrate|25.9|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 7 d after exposure|No information on individuals available for this study
13-6-12|n/a,n/a|1|75|Sr-90 nitrate|25.9|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 14 d after exposure|No information on individuals available for this study
13-6-13|n/a,n/a|1|75|Sr-90 nitrate|25.9|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 21 d after exposure|No information on individuals available for this study
13-6-14|n/a,n/a|1|75|Sr-90 nitrate|25.9|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 35 d after exposure|No information on individuals available for this study
13-6-15|n/a,n/a|1|75|Sr-90 nitrate|25.9|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 42 d after exposure|No information on individuals available for this study
13-6-16|n/a,n/a|1|75|Sr-90 nitrate|25.9|kilobecquerels per g animal|Injection, intravenous|single injection|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 56 d after exposure|No information on individuals available for this study
13-6-17|n/a,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 7 d after exposure|No information on individuals available for this study
13-6-18|n/a,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 14 d after exposure|No information on individuals available for this study
13-6-19|n/a,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 21 d after exposure|No information on individuals available for this study
13-6-20|n/a,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 35 d after exposure|No information on individuals available for this study
13-6-21|n/a,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 42 d after exposure|No information on individuals available for this study
13-6-22|n/a,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|sacrificed 56 d after exposure|No information on individuals available for this study
