Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
13-1-1|n/a,n/a|1|70|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|125 (0 in ERA)|Mouse|Mouse, CBA|Unknown|Juvenile|Development histogenesis osteosarcoma|No information on individuals available for this study
13-1-2|n/a,n/a|1|70|Sr-90 nitrate|25|kilobecquerels per g animal|Injection, intraperitoneal|n/a|200 (0 in ERA)|Mouse|Mouse, CBA|Unknown|Juvenile|Development histogenesis osteosarcoma|No information on individuals available for this study
13-1-3|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 200 days p.i.|No information on individuals available for this study
13-1-4|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 215 days p.i.|No information on individuals available for this study
13-1-5|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 230 days p.i.|No information on individuals available for this study
13-1-6|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 245 days p.i.|No information on individuals available for this study
13-1-7|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 260 days p.i.|No information on individuals available for this study
13-1-8|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 275 days p.i.|No information on individuals available for this study
13-1-9|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 290 days p.i.|No information on individuals available for this study
13-1-10|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 305 days p.i.|No information on individuals available for this study
13-1-11|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 320 days p.i.|No information on individuals available for this study
13-1-12|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 335 days p.i.|No information on individuals available for this study
13-1-13|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|5 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|sacrifice 350 days p.i.|No information on individuals available for this study
13-1-14|n/a,n/a|1|70|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|95 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|in addition 20 for haematology, last animals sacrificed 570 days|No information on individuals available for this study
13-1-15|n/a,n/a|1|70|Sr-90 nitrate|7.4|kilobecquerels per g animal|Injection, intraperitoneal|n/a|122 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|in addition 20 for haematology, last animals sacrificed 540 days|No information on individuals available for this study
13-1-16|n/a,n/a|1|70|Sr-90 nitrate|14.8|kilobecquerels per g animal|Injection, intraperitoneal|n/a|122 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|in addition 50 for haematology, last animals sacrificed 480 days|No information on individuals available for this study
13-1-17|n/a,n/a|1|70|Sr-90 nitrate|29.6|kilobecquerels per g animal|Injection, intraperitoneal|n/a|121 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|in addition 20 for haematology, last animals sacrificed 360 days|No information on individuals available for this study
13-1-18|n/a,n/a|1|70|Sr-90 nitrate|59.2|kilobecquerels per g animal|Injection, intravenous|n/a|120 (0 in ERA)|Mouse|Mouse, CBA|Male|Juvenile|last animals sacrificed 300 days|No information on individuals available for this study
13-1-19|n/a,n/a|1|25|Sr-90 nitrate|7.4|kilobecquerels per g animal|Injection, intraperitoneal|n/a|50 (0 in ERA)|Mouse|Mouse, CBA|Male|Infant|Lifespan study|No information on individuals available for this study
