Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
19-17-1|n/a,n/a|1|n/a|Pu-239 dioxide|92.5|megabecquerels per animal|Injection, intravenous|n/a|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-2|n/a,n/a|1|n/a|Pu-239 dioxide|46.3|megabecquerels per animal|Injection, intravenous|n/a|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-3|n/a,n/a|1|n/a|Pu-239 dioxide|23.2|megabecquerels per animal|Injection, intravenous|n/a|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-4|n/a,n/a|1|n/a|Pu-239 nitrate|165.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-5|n/a,n/a|1|n/a|Pu-239 nitrate|55.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-6|n/a,n/a|1|n/a|Pu-239 nitrate|18.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-7|n/a,n/a|1|n/a|Pu-239 dioxide|92.5|megabecquerels per animal|Injection, intravenous|n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-8|n/a,n/a|1|n/a|Pu-239 dioxide|46.3|megabecquerels per animal|Injection, intravenous|n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-9|n/a,n/a|1|n/a|Pu-239 dioxide|23.2|megabecquerels per animal|Injection, intravenous|n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-10|n/a,n/a|1|n/a|Pu-239 nitrate|165.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-11|n/a,n/a|1|n/a|Pu-239 nitrate|55.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-12|n/a,n/a|1|n/a|Pu-239 nitrate|18.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-13|n/a,n/a|1|n/a|cells injected|0|unit code not relevant|Injection, intravenous|nitric acid|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-14|n/a,n/a|1|n/a|Pu-239 dioxide|92.5|megabecquerels per animal|Injection, intravenous|n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-15|n/a,n/a|1|n/a|Pu-239 dioxide|46.3|megabecquerels per animal|Injection, intravenous|n/a|25 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-16|n/a,n/a|1|n/a|Pu-239 dioxide|23.2|megabecquerels per animal|Injection, intravenous|n/a|25 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-17|n/a,n/a|1|n/a|Pu-239 nitrate|165.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|25 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 8, 32, 128, 256, 412 days after Pu-239 injection|No information on individuals available for this study
19-17-18|n/a,n/a|1|n/a|Pu-239 nitrate|55.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|35 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 128, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-19|n/a,n/a|1|n/a|Pu-239 nitrate|18.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|35 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 128, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-20|n/a,n/a|1|n/a|cells injected|0|unit code not relevant|Injection, intravenous|nitric acid|35 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 128, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-21|n/a,n/a|1|n/a|Pu-239 nitrate|166.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-22|n/a,n/a|1|n/a|Pu-239 nitrate|55.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-23|n/a,n/a|1|n/a|Pu-239 nitrate|18.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-24|n/a,n/a|1|n/a|cells injected|0|unit code not relevant|Injection, intravenous|nitric acid|20 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 16, 32, 64, 256-365 days after Pu-239 injection|No information on individuals available for this study
19-17-25|n/a,n/a|1|n/a|Pu-239 dioxide|92.5|megabecquerels per animal|Injection, intravenous|n/a|96 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 4, 8, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-26|n/a,n/a|1|n/a|Pu-239 dioxide|46.3|megabecquerels per animal|Injection, intravenous|n/a|96 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 4, 8, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-27|n/a,n/a|1|n/a|Pu-239 dioxide|23.2|megabecquerels per animal|Injection, intravenous|n/a|96 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 4, 8, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-28|n/a,n/a|1|n/a|Pu-239 nitrate|165.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-29|n/a,n/a|1|n/a|Pu-239 nitrate|55.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-30|n/a,n/a|1|n/a|Pu-239 nitrate|18.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-31|n/a,n/a|1|n/a|cells injected|0|unit code not relevant|Injection, intravenous|nitric acid|160 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|16 Rats sacrificed 1, 2, 3, 4, 6, 8, 9, 11, 12, 18 months after Pu-239 injection|No information on individuals available for this study
19-17-32|n/a,n/a|1|n/a|Pu-239 nitrate|166.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|70 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
19-17-33|n/a,n/a|1|n/a|Pu-239 nitrate|55.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|70 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
19-17-34|n/a,n/a|1|n/a|Pu-239 nitrate|18.5|megabecquerels per animal|Injection, intravenous|Polymeric pH 1.5|67 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
19-17-35|n/a,n/a|1|n/a|cells injected|0|unit code not relevant|Injection, intravenous|nitric acid|66 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|spontaneous death|No information on individuals available for this study
