Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
2009-1-1|n/a,n/a|1|42|none (controls)|0|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|0 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-2|n/a,n/a|1|42|X-rays whole body|100|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|0 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-3|n/a,n/a|1|42|X-rays whole body|100|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|3 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-4|n/a,n/a|1|42|X-rays whole body|100|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|6 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-5|n/a,n/a|1|42|X-rays whole body|100|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|12 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-6|n/a,n/a|1|42|X-rays whole body|100|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|24 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-7|n/a,n/a|1|42|X-rays whole body|100|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|36 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-8|n/a,n/a|1|42|X-rays whole body|250|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|0 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-9|n/a,n/a|1|42|X-rays whole body|250|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|3 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-10|n/a,n/a|1|42|X-rays whole body|250|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|6 h after exposure p53 protein assay|No information on individuals available for this study
2009-1-11|n/a,n/a|1|42|X-rays whole body|250|milli grays|External exposure|n/a|3 (0 in ERA)|Rat|Rat CDF (F344) /CrlBR|Male|Juvenile|12 h after exposure p53 protein assay|No information on individuals available for this study
