Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
9-11-1|XS-mGy 0,n/a|Sequence:1, Age:-7,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|119 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Foetal|Lifespan study SPF rats|No information on individuals available for this study
9-11-2|XS-15d mGy 0.1,n/a|Sequence:1, Age:-7,Type:X-rays whole body,Quantity:0.1,Unit:grays,Application:External exposure, Remarks:n/a|97 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Foetal|Lifespan study SPF rats|No information on individuals available for this study
9-11-3|XS-15d mGy 0.2,n/a|Sequence:1, Age:-7,Type:X-rays whole body,Quantity:0.2,Unit:grays,Application:External exposure, Remarks:n/a|138 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Foetal|Lifespan study SPF rats|No information on individuals available for this study
9-11-4|XS-15d mGy 0.5,n/a|Sequence:1, Age:-7,Type:X-rays whole body,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:n/a|83 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Foetal|Lifespan study SPF rats|No information on individuals available for this study
9-11-5|XN-mGy 0,n/a|Sequence:1, Age:-12,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|14 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Organogenese|Lifespan study conventional rats|No information on individuals available for this study
9-11-6|XN-10d-mGy 0.5,n/a|Sequence:1, Age:-12,Type:X-rays whole body,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:n/a|9 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Organogenese|Lifespan study conventional rats|No information on individuals available for this study
9-11-7|XN-10d-mGy 1,n/a|Sequence:1, Age:-12,Type:X-rays whole body,Quantity:1,Unit:grays,Application:External exposure, Remarks:n/a|13 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Organogenese|Lifespan study conventional rats|No information on individuals available for this study
9-11-8|XN-15d-mGy 0.5,n/a|Sequence:1, Age:-7,Type:X-rays whole body,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:n/a|6 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Foetal|Lifespan study conventional rats|No information on individuals available for this study
9-11-9|XN-15d-mGy 1,n/a|Sequence:1, Age:-7,Type:X-rays whole body,Quantity:1,Unit:grays,Application:External exposure, Remarks:n/a|22 (0 in ERA)|Rat|Rat, Wistar r/cnb|Male|Foetal|Lifespan study conventional rats|No information on individuals available for this study
		
