Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
9-9-1|Xb-0DEGy 0,n/a|Sequence:1, Age:7,Type:none (controls),Quantity:0,Unit:grays,Application:not applicable or not supplied, Remarks:control|30 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 40 70 w|No information on individuals available for this study
9-9-2|Xb-0.31DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:0.31,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-3|Xb-0.62DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:0.62,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-4|Xb-1.25DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:1.25,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-5|Xb-2.5DEGy 0,n/a|Sequence:1, Age:14,Type:diethylnitrosamine,Quantity:2.5,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-6|Xb-0DEGy 0,n/a|Sequence:1, Age:7,Type:X-rays whole body,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-7|Xb-0.31DEGy 0.5,n/a|Sequence:1, Age:7,Type:X-rays whole body,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-7|Xb-0.31DEGy 0.5,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:0.31,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-8|Xb-0.62DEGy 0.5,n/a|Sequence:1, Age:7,Type:X-rays whole body,Quantity:0.5,Unit:grays,Application:External exposure, Remarks:whole body|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
9-9-8|Xb-0.62DEGy 0.5,n/a|Sequence:2, Age:14,Type:diethylnitrosamine,Quantity:0.62,Unit:micrograms per g animal,Application:Injection, intraperitoneal, Remarks:ip inject.|80 (0 in ERA)|Mouse|Mouse, C57BL/Cnb|Male|Lactation|serial sacrif.10 w interval|No information on individuals available for this study
