Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1011-1-1|n/a,n/a|Sequence:1, Age:n/a,Type:none (controls),Quantity:0,Unit:grays,Application:Injection, intraperitoneal, Remarks:n/a|199 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-2|n/a,n/a|Sequence:1, Age:n/a,Type:H-3 O2,Quantity:0.46,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.00192 Gy/h|110 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-3|n/a,n/a|Sequence:1, Age:n/a,Type:H-3 O2,Quantity:0.92,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.0038 Gy/h|113 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-4|n/a,n/a|Sequence:1, Age:n/a,Type:H-3 O2,Quantity:1.8,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.0074 Gy/h|120 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-5|n/a,n/a|Sequence:1, Age:n/a,Type:H-3 O2,Quantity:3.8,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.016 Gy/h|120 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-6|n/a,n/a|Sequence:1, Age:n/a,Type:X-rays whole body,Quantity:0.3,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.012 Gy/h|120 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-7|n/a,n/a|Sequence:1, Age:n/a,Type:X-rays whole body,Quantity:0.6,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.024 Gy/h|120 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-8|n/a,n/a|Sequence:1, Age:n/a,Type:X-rays whole body,Quantity:1.1,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.046 Gy/h|120 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-9|n/a,n/a|Sequence:1, Age:n/a,Type:X-rays whole body,Quantity:2.2,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.062 Gy/h|120 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter|No information on individuals available for this study
1011-1-10|n/a,n/a|Sequence:1, Age:n/a,Type:X-rays whole body,Quantity:0.6,Unit:grays,Application:Injection, intraperitoneal, Remarks:Dose rate 0.57 Gy/h|120 (0 in ERA)|Rat|Rat Sprague Dawley|Female|Unknown|Rats in each group were allowed to live until the cumulative number of animals with at least one mammary tumor exceeded 50% of those at risk. Mammary tumor development was monitored by palpation every 2-3 w; tumors were excised and classified histologically upon reaching 2.5 cm diameter. |No information on individuals available for this study
