Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
13-16-1|Sr-Bq 7.4,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:7.4,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-2|Sr-thyect-Bq 7.4,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:7.4,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|55 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-2|Sr-thyect-Bq 7.4,n/a|Sequence:2, Age:n/a,Type:thymectomy,Quantity:,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:thymectomy|55 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-3|Sr-thygr-Bq 7.4,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:7.4,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:thymectomy|53 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-3|Sr-thygr-Bq 7.4,n/a|Sequence:2, Age:n/a,Type:thymus cells transplant,Quantity:,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:thymus graft|53 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-4|Sr-ALG-Bq 7.4,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:7.4,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:thymus graft|28 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-4|Sr-ALG-Bq 7.4,n/a|Sequence:2, Age:75,Type:ALG antilymphocyte globulin,Quantity:,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:ALG|28 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-5|SR-kBq 0,n/a|Sequence:1, Age:75,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|47 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-6|Sr-KBq 14.8,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|49 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-7|Sr+B-KBq 14.8,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|49 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
13-16-7|Sr+B-KBq 14.8,n/a|Sequence:2, Age:75,Type:autologous Bone marrow transplant,Quantity:5,Unit:millions of cells injected,Application:Injection, intravenous, Remarks:Bone marrow cells|49 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan with macri/microscopic pathology|No information on individuals available for this study
