Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
13-19-1|Sr+Oe-kBq 0,n/a|Sequence:1, Age:74,Type:poly-estradiol phosphate,Quantity:,Unit:milligrams,Application:Injection, subcutaneously, Remarks:3 sc inject. age 74 96 126 d|70 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-2|SrkBq 0.925,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:0.925,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-3|Sr+Oe-kBq 0.925,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:0.925,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-3|Sr+Oe-kBq 0.925,n/a|Sequence:2, Age:74,Type:poly-estradiol phosphate,Quantity:,Unit:milligrams,Application:Injection, subcutaneously, Remarks:3 sc inject. age 74 96 126 d|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-4|Sr+Co-kBq 0.925,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:0.925,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:3 sc inject. age 74 96 126 d|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-4|Sr+Co-kBq 0.925,n/a|Sequence:2, Age:74,Type:prednisolon,Quantity:,Unit:milligrams,Application:Injection, subcutaneously, Remarks:single injection|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-5|Sr-kBq 1.85,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:1.85,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-6|Sr+Oe-kBq 1.85,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:1.85,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-6|Sr+Oe-kBq 1.85,n/a|Sequence:2, Age:74,Type:poly-estradiol phosphate,Quantity:,Unit:milligrams,Application:Injection, subcutaneously, Remarks:3 sc inject. age 74 96 126 d|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-7|Sr+Co-kBq 1.85,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:1.85,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-7|Sr+Co-kBq 1.85,n/a|Sequence:2, Age:74,Type:poly-estradiol phosphate,Quantity:,Unit:milligrams,Application:Injection, subcutaneously, Remarks:3 sc inject. age 74 96 126 d|100 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-8|Sr-kBq 7.4,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:7.4,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-9|Sr+Oe-kBq 7.4,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:7.4,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-9|Sr+Oe-kBq 7.4,n/a|Sequence:2, Age:74,Type:poly-estradiol phosphate,Quantity:,Unit:milligrams,Application:Injection, subcutaneously, Remarks:3 sc inject. age 74 96 126 d|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-10|Sr+Co-kBq 7.4,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:7.4,Unit:kilobecquerels,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-10|Sr+Co-kBq 7.4,n/a|Sequence:2, Age:74,Type:prednisolon,Quantity:,Unit:milligrams,Application:Injection, subcutaneously, Remarks:10 sc inject. 2 w interval|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-11|n/a,n/a|Sequence:1, Age:65,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-12|n/a,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-12|n/a,n/a|Sequence:2, Age:75,Type:prednisolon,Quantity:1,Unit:milligrams,Application:Injection, subcutaneously, Remarks:every 2nd week for 2 months|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-13|n/a,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-13|n/a,n/a|Sequence:2, Age:74,Type:poly-estradiol phosphate,Quantity:1,Unit:milligrams,Application:Injection, subcutaneously, Remarks:each 1 day before and 21 and 51 days after Sr|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-14|n/a,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-14|n/a,n/a|Sequence:2, Age:75,Type:nortestosterone,Quantity:0.25,Unit:milligrams,Application:Injection, subcutaneously, Remarks:n/a|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-15|n/a,n/a|Sequence:1, Age:75,Type:none (controls),Quantity:,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-16|n/a,n/a|Sequence:1, Age:75,Type:prednisolon,Quantity:1,Unit:milligrams,Application:Injection, subcutaneously, Remarks:every 2nd week during lifetime|49 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-17|n/a,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|50 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-18|n/a,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|49 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-18|n/a,n/a|Sequence:2, Age:75,Type:prednisolon,Quantity:1,Unit:milligrams,Application:Injection, subcutaneously, Remarks:every 2nd week for 2 months|49 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-19|n/a,n/a|Sequence:1, Age:75,Type:Sr-90 nitrate,Quantity:14.8,Unit:kilobecquerels per g animal,Application:Injection, intraperitoneal, Remarks:single injection|42 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
13-19-19|n/a,n/a|Sequence:2, Age:75,Type:prednisolon,Quantity:1,Unit:milligrams,Application:Injection, subcutaneously, Remarks:every 2nd week during lifetime|42 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|Lifespan study macro/microscopic pathology|No information on individuals available for this study
