Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
10-6-1|n/a,n/a|Sequence:1, Age:28,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|583 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|420 for longevity study|No information on individuals available for this study
10-6-2|n/a,n/a|Sequence:1, Age:28,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|569 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|434 for longevity study|No information on individuals available for this study
10-6-3|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:50,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|288 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|235 for longevity study|No information on individuals available for this study
10-6-4|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:50,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|288 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|236 for longevity study|No information on individuals available for this study
10-6-5|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:98,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|296 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|248 for longevity study|No information on individuals available for this study
10-6-6|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:98,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|280 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|233 for longevity study|No information on individuals available for this study
10-6-7|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:198,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|286 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|227 for longevity study|No information on individuals available for this study
10-6-8|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:198,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|290 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|230 for longevity study|No information on individuals available for this study
10-6-9|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:350,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|291 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|246 for longevity study|No information on individuals available for this study
10-6-10|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:350,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|285 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|241 for longevity study|No information on individuals available for this study
10-6-11|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:457,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|287 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|208 for longevity study|No information on individuals available for this study
10-6-12|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:457,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|289 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|223 for longevity study|No information on individuals available for this study
10-6-13|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:549,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|72 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|55 for longevity study|No information on individuals available for this study
10-6-14|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:549,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|72 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|48 for longevity study|No information on individuals available for this study
10-6-15|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:620,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|68 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|30 for longevity study|No information on individuals available for this study
10-6-16|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:620,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|68 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|33 for longevity study|No information on individuals available for this study
10-6-17|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:703,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|72 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|38 for longevity study|No information on individuals available for this study
10-6-18|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:703,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|72 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|33 for longevity study|No information on individuals available for this study
10-6-19|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:780,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|72 (0 in ERA)|Mouse|Mouse, SAS/4|Male|Juvenile|11 for longevity study|No information on individuals available for this study
10-6-20|n/a,n/a|Sequence:1, Age:28,Type:gamma-rays whole body,Quantity:780,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body|72 (0 in ERA)|Mouse|Mouse, SAS/4|Female|Juvenile|18 for longevity study|No information on individuals available for this study
10-6-21|n/a,n/a|Sequence:1, Age:1,Type:gamma-rays whole body,Quantity:396,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body| (0 in ERA)|Mouse|Mouse, SAS/4|Unknown|Lactation|Survival some with pathology|No information on individuals available for this study
10-6-22|n/a,n/a|Sequence:1, Age:7,Type:gamma-rays whole body,Quantity:202,Unit:roentgens,Application:External exposure, Remarks:15 MeV accelerator whole body| (0 in ERA)|Mouse|Mouse, SAS/4|Unknown|Lactation|Survival some with pathology|No information on individuals available for this study
