Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
19-19-1|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:1850,Unit:kilobecquerels,Application:Gavage, Remarks:intragastric|82 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-2|n/a,n/a|Sequence:1, Age:n/a,Type:Pu239 tributylphosphate PTB,Quantity:1850,Unit:kilobecquerels,Application:Gavage, Remarks:intragastric|82 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-3|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:1850,Unit:kilobecquerels,Application:Gavage, Remarks:intragastric diluted trichlorobenzene|82 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-3|n/a,n/a|Sequence:2, Age:n/a,Type:trichlorobenzene,Quantity:,Unit:unit code not relevant,Application:Gavage, Remarks:n/a|82 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-4|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:1850,Unit:kilobecquerels,Application:Gavage, Remarks:intragastric diluted with hexachlorobutadiene|83 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-4|n/a,n/a|Sequence:2, Age:n/a,Type:hexachlorobutadiene,Quantity:,Unit:unit code not relevant,Application:Gavage, Remarks:n/a|83 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-5|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:1850,Unit:kilobecquerels,Application:Gavage, Remarks:intragastric diluted with liquid Nparafine|83 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-5|n/a,n/a|Sequence:2, Age:n/a,Type:paraffin,Quantity:,Unit:unit code not relevant,Application:Gavage, Remarks:n/a|83 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-6|n/a,n/a|Sequence:1, Age:n/a,Type:Pu239 tributylphosphate PTB,Quantity:1850,Unit:kilobecquerels,Application:Gavage, Remarks:intragastric diluted trichlorobenzene|83 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-6|n/a,n/a|Sequence:2, Age:n/a,Type:trichlorobenzene,Quantity:,Unit:unit code not relevant,Application:Gavage, Remarks:n/a|83 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
19-19-7|n/a,n/a|Sequence:1, Age:n/a,Type:Pu239 tributylphosphate PTB,Quantity:1850,Unit:kilobecquerels,Application:Gavage, Remarks:intragastric diluted with hexachlorobutadiene|82 (0 in ERA)|Rat|Rat Wistar|Both|Young Adult|7 rats sacrificed for organ radiometry 4, 30'1,3,6h, 1,2,4,8,16,32,64,128,256,360,512d; 3-4 rats for urine sampling|No information on individuals available for this study
