Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
2008-1-1|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:5,Unit:grays,Application:External exposure, Remarks:single exposure|8 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-2|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:7.5,Unit:grays,Application:External exposure, Remarks:single exposure|8 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-3|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:10,Unit:grays,Application:External exposure, Remarks:single exposure|8 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-4|n/a,n/a|Sequence:1, Age:210,Type:none (controls),Quantity:0,Unit:grays,Application:External exposure, Remarks:n/a|5 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-5|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:20,Unit:grays,Application:External exposure, Remarks:single exposure|5 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-6|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:20,Unit:grays,Application:External exposure, Remarks:fractionated into daily exposures|9 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-7|n/a,n/a|Sequence:1, Age:210,Type:none (controls),Quantity:0,Unit:grays,Application:External exposure, Remarks:n/a|12 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-8|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:40,Unit:grays,Application:External exposure, Remarks:single exposure|5 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-9|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:40,Unit:grays,Application:External exposure, Remarks:fractionated into daily exposures|6 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-10|n/a,n/a|Sequence:1, Age:500,Type:none (controls),Quantity:0,Unit:grays,Application:External exposure, Remarks:n/a|20 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-11|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:60,Unit:grays,Application:External exposure, Remarks:single exposure|82 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
2008-1-12|n/a,n/a|Sequence:1, Age:210,Type:X-rays local,Quantity:60,Unit:grays,Application:External exposure, Remarks:fractionated into daily exposures|14 (0 in ERA)|Rat|Rat Wistar|Female|Adult|bone late effects 1, 2, 4 or 6 months after exposure|No information on individuals available for this study
		
