Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1005-22-1|n/a,n/a|Sequence:1, Age:84,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|61 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-2|n/a,n/a|Sequence:1, Age:84,Type:Yb stable,Quantity:0,Unit:unit code not relevant,Application:Inhalation, Remarks:stable Yb oxide|63 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-3|n/a,n/a|Sequence:1, Age:84,Type:Yb-169,Quantity:1800,Unit:unit code not relevant,Application:Inhalation, Remarks:Yb-169 oxide|121 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-4|n/a,n/a|Sequence:1, Age:84,Type:Pu-239 dioxide,Quantity:74,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Repeated exposure 84,140,204,321,384,448d, lung alpha dose 2.2±1.26Gy|126 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-5|n/a,n/a|Sequence:1, Age:84,Type:Pu-239 dioxide,Quantity:379,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Repeated exposure 84,140,204,321,384,448d, lung alpha dose 11±43Gy|111 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-6|n/a,n/a|Sequence:1, Age:84,Type:Pu-239 dioxide,Quantity:1800,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Repeated exposure 84,140,204,321,384,448d, lung alpha dose 39±15Gy|35 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-7|n/a,n/a|Sequence:1, Age:84,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|30 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-8|n/a,n/a|Sequence:1, Age:84,Type:Yb stable,Quantity:1800,Unit:unit code not relevant,Application:Inhalation, Remarks:stable Yb oxide|32 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-9|n/a,n/a|Sequence:1, Age:84,Type:Pu-239 dioxide,Quantity:74,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Single exposure 84d, lung alpha dose 0.4±2.2Gy|55 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-10|n/a,n/a|Sequence:1, Age:84,Type:Pu-239 dioxide,Quantity:370,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Single exposure 84d, lung alpha dose 4.5±2.5Gy|54 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-11|n/a,n/a|Sequence:1, Age:84,Type:Pu-239 dioxide,Quantity:1800,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Single exposure 84d, lung alpha dose 15.0±9.6Gy|54 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-12|n/a,n/a|Sequence:1, Age:320,Type:Yb stable,Quantity:0,Unit:unit code not relevant,Application:Inhalation, Remarks:stable Yb oxide|28 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-13|n/a,n/a|Sequence:1, Age:320,Type:Yb-169,Quantity:1800,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Yb-169 oxide|32 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-14|n/a,n/a|Sequence:1, Age:320,Type:Pu-239 dioxide,Quantity:370,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Single exposure 320d, lung alpha dose 2.3±1.2Gy|64 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
1005-22-15|n/a,n/a|Sequence:1, Age:320,Type:Pu-239 dioxide,Quantity:1800,Unit:becquerels initial or established lung burden,Application:Inhalation, Remarks:Single exposure 320d, lung alpha dose 8.8±4.8Gy|61 (0 in ERA)|Rodent Other|Hamsters, Syrian golden|Male|Young Adult|Lifespan study with histopathology|No information on individuals available for this study
		
