Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
2013-1-1|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:3.7,Unit:gigabecquerels per l drinking water,Application:not applicable or not supplied, Remarks:dose rate 96 mGy/d accumulated dose not determ.|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-2|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:9.25,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 240 mGy/d accumulated dose not determ.|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-3|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:12,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 300 mGy/d accumulated organdose 20.0 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-4|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:18.5,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 480 mGy/d accumulated organdose 18.5 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-5|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:37,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 960 mGy/d accumulated organdose 15.3 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-6|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:74,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate 1920 mGy/d accumulated organdose 12 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-7|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:148,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate not determ. accumulated organdose 11.1 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-8|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:296,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate not determ. accumulated organdose 13.1 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-9|n/a,n/a|Sequence:1, Age:70,Type:H-3 O2,Quantity:592,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:dose rate not determ. mGy/d accumulated organdose 23.7 Gy|20 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
2013-1-10|n/a,n/a|Sequence:1, Age:70,Type:none (controls),Quantity:0,Unit:gigabecquerels per l drinking water,Application:Ingestion in food or water, Remarks:n/a|69 (0 in ERA)|Mouse|Mouse, (C57BL/6N x C3H/He)F1|Female|Juvenile|n/a|No information on individuals available for this study
