Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
13-11-1|G-50d-Gy 0,n/a|Sequence:1, Age:50,Type:gamma-rays Cs-137,Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|10 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 106 d|No information on individuals available for this study
13-11-2|G-50d-Gy 0.94,n/a|Sequence:1, Age:50,Type:gamma-rays Cs-137,Quantity:0.9,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|10 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 106 d|No information on individuals available for this study
13-11-3|G-50d-Gy 2.4,n/a|Sequence:1, Age:50,Type:gamma-rays Cs-137,Quantity:2.4,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|10 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 106 d|No information on individuals available for this study
13-11-4|G-90d-Gy 0,n/a|Sequence:1, Age:90,Type:none (controls),Quantity:0,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|7 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 146 d|No information on individuals available for this study
13-11-5|G-90d-Gy 0.94,n/a|Sequence:1, Age:90,Type:gamma-rays whole body,Quantity:0.9,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|15 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 146 d|No information on individuals available for this study
13-11-6|G-90d-Gy 2.4,n/a|Sequence:1, Age:90,Type:gamma-rays whole body,Quantity:2.4,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|15 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 146 d|No information on individuals available for this study
13-11-7|G-135d-Gy 0,n/a|Sequence:1, Age:135,Type:none (controls),Quantity:0,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|9 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 181 d|No information on individuals available for this study
13-11-8|G-135d-Gy 0.94,n/a|Sequence:1, Age:135,Type:gamma-rays whole body,Quantity:0.9,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|15 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 181 d|No information on individuals available for this study
13-11-9|G-135d-Gy 2.4,n/a|Sequence:1, Age:135,Type:gamma-rays whole body,Quantity:2.4,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|15 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 181 d|No information on individuals available for this study
13-11-10|G-190d-Gy 0,n/a|Sequence:1, Age:190,Type:none (controls),Quantity:0,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|9 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 246 d|No information on individuals available for this study
13-11-11|G-190d-Gy 0.94,n/a|Sequence:1, Age:190,Type:gamma-rays whole body,Quantity:0.9,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|15 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 246 d|No information on individuals available for this study
13-11-12|G-190d-Gy 2.4,n/a|Sequence:1, Age:190,Type:gamma-rays whole body,Quantity:2.4,Unit:grays,Application:External exposure, Remarks:whole body 0.0268 Gy/h for 4 d|15 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Female|Young Adult|microscopy of ovaries age 246 d|No information on individuals available for this study
		
