Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1005-9-1|n/a,n/a|1| 400|none (controls)|0|unit code not relevant|not applicable or not supplied| n/a|5 (5 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-1-3548|1|4292|n/a|n/a|n/a|
1005-9-1|n/a,n/a|1| 400|none (controls)|0|unit code not relevant|not applicable or not supplied| n/a|5 (5 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-1-3755|1|5454|n/a|n/a|n/a|
1005-9-1|n/a,n/a|1| 400|none (controls)|0|unit code not relevant|not applicable or not supplied| n/a|5 (5 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-1-3759|1|4303|n/a|n/a|n/a|
1005-9-1|n/a,n/a|1| 400|none (controls)|0|unit code not relevant|not applicable or not supplied| n/a|5 (5 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-1-5420|1|4111|n/a|n/a|n/a|
1005-9-1|n/a,n/a|1| 400|none (controls)|0|unit code not relevant|not applicable or not supplied| n/a|5 (5 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-1-5430|1|1467|n/a|n/a|n/a|
1005-9-2|n/a,n/a|1| 90|Ce-144 on FAS particles|0.333|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-2-5247|2|n/a|n/a|n/a|n/a|
1005-9-2|n/a,n/a|1| 90|Ce-144 on FAS particles|0.333|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-2-5436|2|4491|n/a|n/a|n/a|
1005-9-2|n/a,n/a|1| 90|Ce-144 on FAS particles|0.333|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-2-5438|2|3100|n/a|n/a|n/a|
1005-9-2|n/a,n/a|1| 90|Ce-144 on FAS particles|0.333|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-2-5450|2|3753|n/a|n/a|n/a|
1005-9-2|n/a,n/a|1| 90|Ce-144 on FAS particles|0.333|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-2-5515|2|3758|n/a|n/a|n/a|
1005-9-2|n/a,n/a|1| 90|Ce-144 on FAS particles|0.333|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-2-5523|2|5166|n/a|n/a|n/a|
1005-9-3|n/a,n/a|1| 90|Ce-144 on FAS particles|2.22|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-3-3550|3|4855|n/a|n/a|n/a|
1005-9-3|n/a,n/a|1| 90|Ce-144 on FAS particles|2.22|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-3-3762|3|5427|n/a|n/a|n/a|
1005-9-3|n/a,n/a|1| 90|Ce-144 on FAS particles|2.22|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-3-3765|3|5195|n/a|n/a|n/a|
1005-9-3|n/a,n/a|1| 90|Ce-144 on FAS particles|2.22|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-3-3766|3|4245|n/a|n/a|n/a|
1005-9-3|n/a,n/a|1| 90|Ce-144 on FAS particles|2.22|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-3-3769|3|5604|n/a|n/a|n/a|
1005-9-3|n/a,n/a|1| 90|Ce-144 on FAS particles|2.22|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|6 (6 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-3-5242|3|n/a|n/a|n/a|n/a|
1005-9-4|n/a,n/a|1| 90|Ce-144 on FAS particles|7.03|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|5 (5 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-4-3547|4|5733|n/a|n/a|n/a|
1005-9-4|n/a,n/a|1| 90|Ce-144 on FAS particles|7.03|kilobecquerels per kilogram animal|Inhalation| Initial burden, single, nose only, exposure to cerium adsorbed to an insoluble fused aluminosilicate vector aerosol|5 (5 in ERA)|Dog|Dog, Beagle|Both|Juvenile|Dogs were given semi-annual medical examinations including radiographic surveys and complete blood work-ups throughout life. Dogs were euthanized when moribund or to prevent unnecessary pain. The necropsy protocol included histopathological observation of all body tissues, with special emphasis on the respiratory tract and tissues or organs that had been clinically dysfunctional|1005-9-4-3552|4|3360|n/a|n/a|n/a|
