Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
19-17-1|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:92.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-2|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:46.3,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-3|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:23.2,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-4|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:165.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-5|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:55.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-6|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:18.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|45 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64,128, 256, 365, 512 days after Pu-239 injection|No information on individuals available for this study
19-17-7|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:92.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-8|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:46.3,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-9|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 dioxide,Quantity:23.2,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:n/a|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-10|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:165.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-11|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:55.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-12|n/a,n/a|Sequence:1, Age:n/a,Type:Pu-239 nitrate,Quantity:18.5,Unit:megabecquerels per animal,Application:Injection, intravenous, Remarks:Polymeric pH 1.5|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
19-17-13|n/a,n/a|Sequence:1, Age:n/a,Type:cells injected,Quantity:0,Unit:unit code not relevant,Application:Injection, intravenous, Remarks:nitric acid|40 (0 in ERA)|Rat|Rat Wistar|n/a|Adult|5 Rats sacrificed 1, 8, 16, 32, 64, 128, 256, 365 days after Pu-239 injection|No information on individuals available for this study
